[2025-12-28 19:09:59,400] INFO | fixtures | Fetching fixtures for gameweek=32
[2025-12-28 19:09:59,956] INFO | fixtures | Retrieved 10 fixtures for gameweek=32
[2025-12-28 19:09:59,960] INFO | fixtures_ingest | Wrote 10 fixtures for GW 32
[2025-12-28 19:09:59,960] INFO | fixtures_ingest | Fetching fixtures for GW 33
[2025-12-28 19:09:59,960] INFO | fixtures | Fetching fixtures for gameweek=33
[2025-12-28 19:10:00,586] INFO | fixtures | Retrieved 10 fixtures for gameweek=33
[2025-12-28 19:10:00,589] INFO | fixtures_ingest | Wrote 10 fixtures for GW 33
[2025-12-28 19:10:00,589] INFO | fixtures_ingest | Fetching fixtures for GW 34
[2025-12-28 19:10:00,590] INFO | fixtures | Fetching fixtures for gameweek=34
[2025-12-28 19:10:01,295] INFO | fixtures | Retrieved 10 fixtures for gameweek=34
[2025-12-28 19:10:01,299] INFO | fixtures_ingest | Wrote 10 fixtures for GW 34
[2025-12-28 19:10:01,299] INFO | fixtures_ingest | Fetching fixtures for GW 35
[2025-12-28 19:10:01,300] INFO | fixtures | Fetching fixtures for gameweek=35
[2025-12-28 19:10:01,905] INFO | fixtures | Retrieved 10 fixtures for gameweek=35
[2025-12-28 19:10:01,908] INFO | fixtures_ingest | Wrote 10 fixtures for GW 35
[2025-12-28 19:10:01,909] INFO | fixtures_ingest | Fetching fixtures for GW 36
[2025-12-28 19:10:01,909] INFO | fixtures | Fetching fixtures for gameweek=36
[2025-12-28 19:10:02,449] INFO | fixtures | Retrieved 10 fixtures for gameweek=36
[2025-12-28 19:10:02,452] INFO | fixtures_ingest | Wrote 10 fixtures for GW 36
[2025-12-28 19:10:02,452] INFO | fixtures_ingest | Fetching fixtures for GW 37
[2025-12-28 19:10:02,453] INFO | fixtures | Fetching fixtures for gameweek=37
[2025-12-28 19:10:03,197] INFO | fixtures | Retrieved 10 fixtures for gameweek=37
[2025-12-28 19:10:03,202] INFO | fixtures_ingest | Wrote 10 fixtures for GW 37
[2025-12-28 19:10:03,202] INFO | fixtures_ingest | Fetching fixtures for GW 38
[2025-12-28 19:10:03,202] INFO | fixtures | Fetching fixtures for gameweek=38
[2025-12-28 19:10:03,899] INFO | fixtures | Retrieved 10 fixtures for gameweek=38
[2025-12-28 19:10:03,906] INFO | fixtures_ingest | Wrote 10 fixtures for GW 38
[2025-12-28 19:10:03,906] INFO | fixtures_ingest | Fetching fixtures for GW 39
[2025-12-28 19:10:03,906] INFO | fixtures | Fetching fixtures for gameweek=39
[2025-12-28 19:10:04,622] INFO | fixtures | Retrieved 0 fixtures for gameweek=39
[2025-12-28 19:10:04,625] INFO | fixtures_ingest | No more fixtures returned. Stopping ingestion.
